Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A4,-71 dBm,-88 dBm,-72 dBm,-84 dBm,-73 dBm,-83 dBm,-69 dBm,-92 dBm
A4,-73 dBm,-83 dBm,-77 dBm,-85 dBm,-82 dBm,-82 dBm,-72 dBm,-91 dBm
A4,-75 dBm,-87 dBm,-76 dBm,-84 dBm,-84 dBm,-80 dBm,-70 dBm,-94 dBm
A4,-77 dBm,-88 dBm,-73 dBm,-82 dBm,-80 dBm,-79 dBm,-73 dBm,-93 dBm
A4,-76 dBm,-85 dBm,-77 dBm,-84 dBm,-74 dBm,-80 dBm,-73 dBm,-90 dBm
A4,-74 dBm,-84 dBm,-72 dBm,-85 dBm,-74 dBm,-78 dBm,-77 dBm,-95 dBm
A4,-73 dBm,-85 dBm,-69 dBm,-85 dBm,-76 dBm,-82 dBm,-80 dBm,-94 dBm
A4,-75 dBm,-84 dBm,-69 dBm,-84 dBm,-74 dBm,-83 dBm,-72 dBm,0
A6,-65 dBm,-72 dBm,-61 dBm,-83 dBm,-71 dBm,-79 dBm,-71 dBm,-84 dBm
A6,-68 dBm,-74 dBm,-63 dBm,-86 dBm,-78 dBm,-80 dBm,-77 dBm,-83 dBm
A6,-65 dBm,-72 dBm,-62 dBm,-83 dBm,-72 dBm,-83 dBm,-78 dBm,-81 dBm
A6,-66 dBm,-74 dBm,-62 dBm,-82 dBm,-79 dBm,-78 dBm,-74 dBm,-78 dBm
A6,-69 dBm,-75 dBm,-63 dBm,-83 dBm,-77 dBm,-77 dBm,-74 dBm,-82 dBm
A6,-68 dBm,-74 dBm,-62 dBm,-83 dBm,-79 dBm,-78 dBm,-75 dBm,-83 dBm
A6,-69 dBm,-71 dBm,-63 dBm,-83 dBm,-71 dBm,-83 dBm,-79 dBm,-84 dBm
A6,-70 dBm,-77 dBm,-71 dBm,-85 dBm,-72 dBm,-81 dBm,-75 dBm,-84 dBm
A6,-69 dBm,-76 dBm,-65 dBm,-85 dBm,-71 dBm,-83 dBm,-77 dBm,-84 dBm
A6,-70 dBm,-72 dBm,-60 dBm,-89 dBm,-73 dBm,-81 dBm,-75 dBm,-84 dBm
A6,-66 dBm,-73 dBm,-65 dBm,-89 dBm,-76 dBm,-82 dBm,-78 dBm,-81 dBm
A6,-74 dBm,-74 dBm,-67 dBm,-86 dBm,-66 dBm,-81 dBm,-81 dBm,-86 dBm
A6,-69 dBm,-73 dBm,-64 dBm,-83 dBm,-70 dBm,-82 dBm,-75 dBm,-85 dBm
A6,-67 dBm,-72 dBm,-62 dBm,-85 dBm,-79 dBm,-80 dBm,-73 dBm,-82 dBm
A6,-64 dBm,-72 dBm,-63 dBm,-85 dBm,-70 dBm,-82 dBm,-71 dBm,-83 dBm
A6,-68 dBm,-72 dBm,-62 dBm,-85 dBm,-75 dBm,-79 dBm,-74 dBm,-83 dBm
A6,-67 dBm,-70 dBm,-62 dBm,-84 dBm,-74 dBm,-78 dBm,-77 dBm,-83 dBm
A6,-68 dBm,-71 dBm,-62 dBm,-83 dBm,-77 dBm,-80 dBm,-75 dBm,-84 dBm
A6,-68 dBm,-73 dBm,-63 dBm,-82 dBm,-75 dBm,-80 dBm,-74 dBm,-79 dBm
A6,-70 dBm,-73 dBm,-62 dBm,-84 dBm,-73 dBm,-82 dBm,-75 dBm,-85 dBm
A6,-67 dBm,-72 dBm,-63 dBm,-85 dBm,-75 dBm,-82 dBm,-75 dBm,-83 dBm
A6,-67 dBm,-71 dBm,-61 dBm,-83 dBm,-76 dBm,-80 dBm,-82 dBm,-82 dBm
A6,-69 dBm,-74 dBm,-68 dBm,-83 dBm,-71 dBm,-82 dBm,-76 dBm,-84 dBm
A6,-75 dBm,-73 dBm,-63 dBm,-86 dBm,-74 dBm,-80 dBm,-72 dBm,-82 dBm
A6,-70 dBm,-79 dBm,-62 dBm,-86 dBm,-76 dBm,-82 dBm,-73 dBm,-81 dBm
A6,-70 dBm,-76 dBm,-60 dBm,-85 dBm,-72 dBm,-82 dBm,-76 dBm,-83 dBm
A6,-69 dBm,-73 dBm,-65 dBm,-87 dBm,-75 dBm,-87 dBm,-77 dBm,-82 dBm
A6,-66 dBm,-71 dBm,-63 dBm,-88 dBm,-76 dBm,-81 dBm,-72 dBm,-81 dBm
A6,-66 dBm,-73 dBm,-62 dBm,-84 dBm,-75 dBm,-80 dBm,-74 dBm,-80 dBm
A6,-67 dBm,-75 dBm,-60 dBm,-85 dBm,-77 dBm,-76 dBm,-72 dBm,-81 dBm
A6,-67 dBm,-71 dBm,-63 dBm,-83 dBm,-73 dBm,-83 dBm,-81 dBm,-86 dBm
A6,-69 dBm,-73 dBm,-61 dBm,-82 dBm,-75 dBm,0,-72 dBm,-87 dBm
A7,-75 dBm,-67 dBm,-67 dBm,-85 dBm,-72 dBm,-81 dBm,-72 dBm,-79 dBm
A7,-75 dBm,-71 dBm,-65 dBm,-86 dBm,-73 dBm,-81 dBm,-76 dBm,-80 dBm
A7,-76 dBm,-70 dBm,-68 dBm,-85 dBm,-75 dBm,-80 dBm,-78 dBm,-78 dBm
A7,-73 dBm,-68 dBm,-66 dBm,-88 dBm,-73 dBm,-82 dBm,-77 dBm,-79 dBm
A7,-75 dBm,-67 dBm,-64 dBm,-86 dBm,-75 dBm,-80 dBm,-69 dBm,-81 dBm
A7,-70 dBm,-70 dBm,-57 dBm,-90 dBm,-87 dBm,-81 dBm,-63 dBm,-86 dBm
A7,-74 dBm,-71 dBm,-57 dBm,-88 dBm,-79 dBm,-82 dBm,-66 dBm,-87 dBm
A7,-74 dBm,-74 dBm,-58 dBm,-89 dBm,-78 dBm,-81 dBm,-65 dBm,-87 dBm
A7,-75 dBm,-73 dBm,-60 dBm,-88 dBm,-78 dBm,-83 dBm,-66 dBm,-87 dBm
A7,-71 dBm,-76 dBm,-63 dBm,-90 dBm,-75 dBm,-79 dBm,-66 dBm,-86 dBm
A7,-72 dBm,-69 dBm,-62 dBm,-97 dBm,-76 dBm,-81 dBm,-65 dBm,-86 dBm
A7,-75 dBm,-70 dBm,-61 dBm,-89 dBm,-83 dBm,-77 dBm,-66 dBm,-85 dBm
A7,-73 dBm,-71 dBm,-64 dBm,-90 dBm,-82 dBm,-83 dBm,-66 dBm,-87 dBm
A7,-73 dBm,-72 dBm,-60 dBm,-91 dBm,-79 dBm,-82 dBm,-66 dBm,-85 dBm
A7,-72 dBm,-72 dBm,-62 dBm,-88 dBm,-78 dBm,-84 dBm,-68 dBm,-85 dBm
A7,-72 dBm,-71 dBm,-60 dBm,-91 dBm,-76 dBm,-79 dBm,-65 dBm,-87 dBm
A7,-74 dBm,-79 dBm,-59 dBm,-89 dBm,-74 dBm,-82 dBm,-66 dBm,-85 dBm
A7,-73 dBm,-80 dBm,-61 dBm,-88 dBm,-77 dBm,-81 dBm,-69 dBm,-87 dBm
A7,-70 dBm,-82 dBm,-59 dBm,-89 dBm,-74 dBm,-83 dBm,-68 dBm,-85 dBm
A7,-72 dBm,-80 dBm,-59 dBm,-95 dBm,-77 dBm,-82 dBm,-67 dBm,-92 dBm
A7,-73 dBm,-80 dBm,-60 dBm,-90 dBm,-74 dBm,-81 dBm,-67 dBm,-85 dBm
A7,-72 dBm,-80 dBm,-63 dBm,-91 dBm,-77 dBm,-81 dBm,-66 dBm,-89 dBm
A7,-73 dBm,-79 dBm,-61 dBm,-89 dBm,-86 dBm,-82 dBm,-70 dBm,-85 dBm
A7,-73 dBm,-68 dBm,-69 dBm,-91 dBm,-79 dBm,-81 dBm,-68 dBm,-87 dBm
A7,-75 dBm,-72 dBm,-68 dBm,-90 dBm,-78 dBm,-85 dBm,-66 dBm,-87 dBm
A7,-74 dBm,-73 dBm,-65 dBm,-92 dBm,-77 dBm,-82 dBm,-66 dBm,-87 dBm
A7,-71 dBm,-76 dBm,-60 dBm,-89 dBm,-79 dBm,-83 dBm,-69 dBm,-85 dBm
